Phenotype	Study	Gene	Estimate (Beta)	Statistic	Two-sided P-value	EUR Sample Size	AFR Sample Size	HIS Sample Size
EOS	TOPMed-MESA mRNA	ENSG00000076003_MCM6	0.02022360062466088	4.83097406705267	1.3611082176495168e-6	51326	14593	16319
EOS	TOPMed-MESA mRNA	ENSG00000226806_LCT-AS1	0.02038024250771537	5.00932372762237	5.473448918019484e-7	51326	14593	16319
MON	TOPMed-MESA mRNA	ENSG00000076003_MCM6	0.02208205175753862	5.221284123015078	1.7812481934296745e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000106245_BUD31	0.02137238299480423	5.237140686894156	1.63490258928135e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000119801_YPEL5	0.02221438776325562	5.114323221387772	3.1558446926550786e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000140995_DEF8	0.02146906703138746	5.323070493516851	1.0230130429959353e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000142686_C1orf216	-0.02589466588843769	-5.491411396505884	3.9992993570328116e-8	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000144224_UBXN4	-0.02189273025147298	-5.085795777647458	3.6690323804379714e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000145911_N4BP3	0.02111335510477758	5.03417796730964	4.80931318466087e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000156983_BRPF1	-0.02127790821374279	-5.068022869106247	4.028524377461046e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000171723_GPHN	0.02606472092589936	5.779640229564071	7.51344227083444e-9	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000182473_EXOC7	0.01666645504869701	5.277467667720083	1.3131794595773184e-7	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000226806_LCT-AS1	0.02254124172460072	5.493676769745007	3.9483293326986926e-8	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000247853_AC006064.2	0.02043267664478531	5.618888311031517	1.9282007301747132e-8	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000263647_BPTFP1	0.01784991522775715	4.750483658102466	2.032782120411434e-6	50383	15734	14768
MON	TOPMed-MESA mRNA	ENSG00000273289_AL121672.3	-0.01661167423912107	-4.782855025443477	1.7312656248845348e-6	50383	15734	14768
WBC	TOPMed-MESA mRNA	ENSG00000004534_RBM6	-0.01710003610995486	-5.237856444299901	1.6276692471888965e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000008838_MED24	-0.05539625099151799	-17.790398404419413	1.0676964938984679e-70	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000047365_ARAP2	-0.01713085711080204	-4.877726335775971	1.0747351487571406e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000063176_SPHK2	-0.01919929239573031	-5.3828519683054585	7.347264391872649e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000063180_CA11	-0.01696761288639218	-5.211294900138846	1.878831482292693e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000066294_CD84	-0.02539189539729719	-7.448454409518846	9.516464970710853e-14	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000067208_EVI5	0.01546272034270503	5.049198710259526	4.444126115705975e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000073605_GSDMB	0.02822477283345156	9.176044495804932	4.550651805070441e-20	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000075785_RAB7A	0.01774961227995764	5.670477020486893	1.4277567522447304e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000107798_LIPA	0.0154820304801674	4.9133975028551955	8.964693954892068e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000108344_PSMD3	0.05719172984497221	18.260710556869025	2.222650682823375e-74	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000108349_CASC3	0.02087502091225045	6.250795821336225	4.0994000685510256e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000108509_CAMTA2	0.01630539895721805	4.834346912712493	1.3377328964491594e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000112941_TENT4A	-0.02025269592015195	-5.201570060581736	1.9798446076893546e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000115232_ITGA4	-0.02526184288692967	-8.292463495383505	1.1222806348294387e-16	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000116586_LAMTOR2	-0.03899099604137907	-10.81776382819208	2.932389618856326e-27	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000116815_CD58	0.01805921706000316	6.023873994555863	1.708588570711029e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000117090_SLAMF1	0.01776275794926366	5.439814727970906	5.3455601446750535e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000122218_COPA	-0.01466516065333057	-5.165167067744183	2.4066495994019617e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000122224_LY9	0.02119753927474694	6.149403785662091	7.805587430169732e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000125459_MSTO1	-0.02011219149640638	-6.2494388887232	4.13515809986146e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000127527_EPS15L1	0.01526830921868876	4.752840306688402	2.008457628653586e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000131748_STARD3	0.02039309937912543	6.779884238956603	1.209094636063674e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000131778_CHD1L	0.02597576492320893	7.292900058010456	3.054947365744777e-13	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000132196_HSD17B7	-0.03180819975899508	-9.280649108919526	1.715417797661283e-20	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000132676_DAP3	0.01730312604819411	5.000488828907602	5.727770801770893e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000132716_DCAF8	0.02625997159300646	7.9124336629716145	2.548642708601986e-15	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000134201_GSTM5	-0.0174317163494209	-5.32603601924592	1.0058659798578909e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000134250_NOTCH2	0.01911652421572874	5.297714715126971	1.1749826617464305e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000134256_CD101	0.01498331153796175	4.986005192979983	6.17391563088828e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000134262_AP4B1	0.0176931810044536	5.253924887715071	1.491833843536242e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000136536_MARCHF7	-0.01590000939950838	-4.990118821272721	6.043906070791404e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000141744_PNMT	0.01848631784869392	5.17299797058354	2.3079261868407917e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143061_IGSF3	-0.02361976900149142	-6.946923184414413	3.755155071156508e-12	63953	21772	18517
