name	value.x	value.y	value.x.x	value.y.y
total_0	36907	21743	1274	13890
cs_num_0	19881	13818	515	5548
cs_size_0	10.92	10.93	8.1	11.21
avg_pip_0	0.42	0.43	0.47	0.39
g09_0	0.27	0.28	0.33	0.24
cs_num	17528	12086	411	5031
n_cs_size	17431	12023	407	5001
estimate_cs_size	-1.0237868721389454	-1.148156641569269	-1.1976424476424476	-0.710638110473143
p.value_cs_size	7.904500937181716e-4	0.005634635256933795	0.13401529358436834	0.05019347487159903
estimate_avg_pip	0.02104661024864668	0.023944868799193886	0.024899110258478352	0.01376532049515139
p.value_avg_pip	2.6355598266291917e-9	1.9343891388216752e-8	0.2811434040171619	0.03512626557445822
estimate_g09	0.018258157105612766	0.02077463301159549	0.019737919737919718	0.012087820531131888
p.value_g09	6.31788986780222e-6	2.1267813202460975e-5	0.47391146711644083	0.10297504390944658
cs_num	15711	10505	347	4859
n_cs_size	15384	10382	342	4660
estimate_cs_size	-24.262439795210856	-28.440840832576534	-14.344736842105261	-15.68125843041079
p.value_cs_size	3.611870923731601e-238	1.5512414343811183e-164	2.466634290110106e-21	2.5249482971401822e-107
estimate_avg_pip	0.1453070161990162	0.15872077889547676	0.1492031937971135	0.11513659193867237
p.value_avg_pip	0	1.2989221488871673e-272	4.9144438912404644e-9	1.9245225888544095e-68
estimate_g09	0.03653084218606839	0.04227256882332975	0.04795321637426897	0.022900572246065815
p.value_g09	2.5428168306956388e-15	1.2807578679053436e-13	0.14475207467360957	0.0041426252777542446
cs_num	17290	12051	378	4861
n_cs_size	16951	11880	374	4697
estimate_cs_size	-0.5054328863868136	-0.7783979677729675	-1.0995320855614965	0.23227592080051096
p.value_cs_size	0.07001316239194938	0.035422438086436726	0.13465494095458894	0.5251738979473421
estimate_avg_pip	0.014294889004109357	0.019640044970077042	0.027866312884594402	-3.051036309763555e-4
p.value_avg_pip	8.052411394724597e-5	5.692360618480657e-6	0.24546337381520636	0.9645934041037434
estimate_g09	0.014028109031353653	0.018411295494628832	0.027718360071301296	0.001851739205369185
p.value_g09	7.587668898967557e-4	2.1434631144008056e-4	0.33440284391466424	0.8141817514855848
cs_num	17348	11750	401	5197
n_cs_size	16667	11389	383	4895
estimate_cs_size	-0.6174541509169806	-0.7035605575973491	-1.3545940569439265	-0.3594377158422102
p.value_cs_size	0.0175285276877686	0.039429888559271084	0.12455387274474039	0.34780202117280457
estimate_avg_pip	-0.008777337484877412	-0.006743254968755941	0.0012283702606438185	-0.014292833264783977
p.value_avg_pip	0.014266547504325785	0.11848234094423395	0.9597164693726898	0.03084503957451653
estimate_g09	-0.01361679909258956	-0.011973646250141107	-0.0015914459778689771	-0.018380757818960064
p.value_g09	8.224795106925051e-4	0.01470513000884483	0.9557768673453616	0.014354465956038006
cs_num	16190	11066	335	4789
n_cs_size	15950	10975	333	4642
estimate_cs_size	-2.8157000049758665	-3.0924729363271517	-2.2907431240764566	-2.198989044131224
p.value_cs_size	2.279632627560872e-16	2.1948641751815796e-11	0.017692296229605498	4.871765080875129e-7
estimate_avg_pip	0.04583286386801566	0.04981119698167369	0.05827086065178738	0.03553470383971041
p.value_avg_pip	9.735065426853772e-34	2.1084013490007132e-27	0.02713503882875774	2.0648308201208239e-7
estimate_g09	0.04023078071353933	0.043385182774704434	0.051673101673101685	0.03195205268664983
p.value_g09	1.572222932985945e-20	2.0019910520598607e-16	0.10213373647250054	3.637599296198577e-5
