0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
1	10	HMX2	3.0723827457730684e-54	1.3302486047445857e-28	583	23.650041776712385	16.01928832332039	79.04171662419974	55.89093382160856
2	12	ITFG2	1.5919899413465732e-75	1.4398373955815147e-23	617	19.81438590223148	13.176950098396794	70.30698525564438	49.71454603906061
3	11	ZBTB16	1.5925434936688735e-72	7.851068003288216e-33	605	25.916051998332094	17.543478339194067	81.46292901932041	57.602989524890674
4	20	SLC24A3	1.4935458887810177e-85	7.799534798524939e-36	987	27.610101319341354	18.6937037140095	108.74480629748591	76.89418995178359
5	19	CD33	1.0432037529288897e-34	3.608489039286359e-09	622	12.911147912837961	8.485241212484084	60.9457144444072	43.095127967913676
6	10	TRDMT1	4.572608784818534e-81	3.1009216436826995e-32	660	22.523819588513717	15.206731749739362	84.10379676854336	59.470365018583394
7	11	OR51B4	1.8656312082148322e-61	3.3105494131136904e-27	868	29.447000065217097	20.137741788843925	115.5609398864605	81.71392423401825
8	4	INPP4B	7.765690255065157e-81	3.26085802931783e-55	590	42.107903666897	28.94069088806117	100.98208286810869	71.40511557439135
9	12	NT5DC3	5.395967277493974e-46	2.4124978219905316e-15	567	20.631358451644033	14.070772253789194	80.16355834734948	56.6841957114653
10	20	PREX1	2.5260659730383025e-48	7.182487781856992e-18	653	28.679437015754417	19.63252896897552	94.18066500030585	66.59578687838491
11	2	GPR75-ASB3	6.354458050708335e-46	3.375905246320571e-25	562	32.99730702598342	22.60081342164991	84.01262680337194	59.40589811796954
12	2	C2orf61	2.43822236541412e-51	4.3194785390375403e-32	605	16.627828482963167	11.139094326556076	74.12662869009115	52.415441813273574
13	22	RAC2	9.206592395668556e-63	1.0967353914440667e-21	604	17.349564948834	11.53269902042691	65.24850917602394	46.13766330069282
14	21	WDR4	8.734564132208567e-38	1.2658224287004423e-19	616	23.297313028008134	15.733375780238958	79.64584451019424	56.31811674650038
15	12	GALNT8	8.798150389750777e-114	5.950480657754574e-45	753	24.392181062397043	16.29594526708854	84.42740476155026	59.69919042488867
16	9	KDM4C	1.192064052396939e-157	1.2267294258144987e-67	1011	36.438853670531586	24.82134000787832	119.70662948333533	84.64536946066478
17	1	DNAH14	4.837323187145393e-73	2.6565138510091467e-31	534	29.847765652687883	20.500656361593244	95.78192722258522	67.72805025421438
18	12	DUSP16	1.775239089072905e-54	3.671004520120082e-34	541	20.976501706549378	14.003061342067632	66.3442919859436	46.9124987562916
19	10	ASB13	2.20607411644775e-57	3.198942658022161e-30	640	22.96798060959945	15.534115596584364	78.23175243004191	55.318202647401115
20	12	KRT86	2.5064554890512593e-71	6.762624394741164e-51	761	30.604697079455022	20.862498503293935	98.14108520758504	69.39622686330469
21	21	BACE2	2.935748492124295e-80	1.2391265077546973e-47	670	19.48623178233119	12.85156745527187	70.90527374846295	50.13759988944104
22	12	RAD51AP1	3.2470401250945025e-102	1.1497213872804139e-38	643	23.924605036830243	15.94541968239055	76.25880062966863	53.923115050405585
23	13	LMO7	1.0801571932541029e-101	5.3390992752256e-36	674	29.142196968560512	19.818033894840042	97.72194662474124	69.09985112911528
24	7	GRM8	2.176907587738022e-144	2.1844118366378636e-68	744	53.020794771323324	36.446484426022224	120.84104397598736	85.44752164109251
25	19	SSC5D	6.41397817670566e-43	4.7095109068403545e-19	557	15.011865961019126	9.913068136930413	60.79309089652559	42.987206822237376
26	14	RP11-986E7.7	4.524986500273085e-60	3.3734841648420776e-16	766	21.722786836216798	14.587418321520374	81.65187445351901	57.736594122690825
27	5	SV2C	2.2119846017030737e-85	3.882460235429838e-58	658	26.96591993396963	18.19090195077112	80.81902723049012	57.14768220359467
28	22	SULT4A1	2.682451401189346e-36	6.411094422557986e-22	651	25.85508855990986	17.570632602427295	81.66918806052503	57.748836691609924
29	15	ZFAND6	6.951314764206449e-70	9.655757676154022e-15	580	24.566657532215757	16.586764217611744	74.35117709862288	52.57422151564899
30	6	CAGE1	4.906657689230677e-66	2.8085465680400214e-21	641	20.255292997733108	13.638817490314032	82.29093641803806	58.188479171396395
31	6	CDYL	9.14946991277841e-101	2.7552174740661344e-40	764	27.670881201038284	18.749490104838088	100.42042811159403	71.00796568737515
32	1	PRRC2C	1.8244355858759043e-101	4.141979453708526e-42	576	35.69174018784386	24.49893204711681	96.4647418176982	68.21087308471263
33	5	CCT5	1.107450635957522e-32	3.524888484374953e-13	585	19.60625197437298	13.164269629005403	68.04162660170086	48.11269557303837
34	22	NCF4	8.072519596931947e-59	4.0858435898401013e-22	638	16.560928281785735	11.032142667844816	69.17891474860858	48.916879733881935
35	14	AC005477.1	1.5057367969048105e-83	3.228533274388625e-58	566	37.0859535914598	25.31283717888818	97.55276474363784	68.98022147373192
36	4	SORBS2	5.493857748807474e-93	6.854347001789821e-50	733	22.394520008545513	14.892402625802717	76.49893800299849	54.092917815503455
