HMX2	10	124907638	124910188
IQCB1	3	121488610	121553926
HAUS3	4	2229191	2243891
ITFG2	12	2921788	2968957
LRRC37A3	17	62850430	62915598
ADSSL1	14	105190523	105213662
SLC25A27	6	46620652	46645930
NOXRED1	14	77860364	77889860
ALPI	2	233320833	233324742
PPM1A	14	60712470	60765805
CCT4	2	62095224	62115939
ZBTB16	11	113930315	114121398
ZNF783	7	148959262	148994393
ZNF197	3	44626380	44689963
TRIM73	7	75024337	75040279
PIGH	14	68048672	68067004
SLC24A3	20	19193290	19703581
NACA	12	57106212	57125412
CAPZA1	1	113161795	113214241
RPL7	8	74202502	74208024
AZU1	19	825097	832018
CD33	19	51728320	51747115
TRANK1	3	36868311	36986548
ADAD1	4	123300121	123350957
PCDH20	13	61983818	61989655
TMEM218	11	124966441	124981659
PTPN18	2	131113580	131132982
TMEM168	7	112402437	112430647
CISD2	4	103790135	103810399
MCHR1	22	41074754	41078818
INTS1	7	1509913	1544003
AC004381.6	16	20817751	20860990
ORAI3	16	30960387	30967782
SRPRB	3	133502877	133544616
TRDMT1	10	17184253	17244053
DNM2	19	10828755	10944164
RP13-794C1.1	3	48488250	48509044
AC092850.1	12	131780067	131782763
MRNIP	5	179262133	179289173
AC037199.1	19	51377552	51378040
TBC1D21	15	74165949	74181555
OR51B4	11	5322244	5323226
CCDC127	5	196986	218330
ALG10B	12	38710380	38723530
SNTB2	16	69221032	69342955
RBM18	9	124999903	125027118
ADGRD2	9	127213704	127240868
CHD3	17	7788124	7816078
CTXN1	19	7989370	7991051
INPP4B	4	142944313	143768585
AMH	19	2249308	2252072
ZBTB48	1	6640061	6649340
FBRSL1	12	133066137	133161774
AQP12A	2	241631262	241637900
DENND2C	1	115125469	115213043
NT5DC3	12	104164231	104234975
LYRM2	6	90277863	90348472
CCNA2	4	122737599	122745088
PREX1	20	47240790	47444420
NBPF11	1	146032647	146082765
NPHP1	2	110879888	110962643
KYNU	2	143635067	143813401
KRR1	12	75884641	75905416
GPR75-ASB3	2	53897430	54087297
AKT3	1	243651535	244014381
BARX1	9	96713904	96717654
SPHKAP	2	228844666	229046361
C2orf61	2	47272677	47382426
CXCL14	5	134906369	134914969
WIPI2	7	5229819	5273457
RAC2	22	37621301	37640488
KRTAP6-3	21	31964759	31965394
MST1	3	49721380	49726934
KLHDC1	14	50159823	50219870
CACNG3	16	24266874	24374122
RP11-111K18.1	7	42948872	42971773
GJB2	13	20761609	20767037
ZSCAN23	6	28399707	28411279
RPS6KB2	11	67195931	67202879
WDR4	21	44263204	44299678
ITGA3	17	48133332	48167845
SS18	18	23596217	23671181
ZC3H15	2	187350883	187374090
TBC1D4	13	75858801	76056250
AC015688.3	17	25950390	25967803
L2HGDH	14	50704281	50779266
KDM3B	5	137688285	137772717
GALNT8	12	4829507	4961093
KRT17	17	39775689	39781094
AC009014.3	5	135527156	135528822
KDM4C	9	6720863	7175648
SPC24	19	11242196	11266484
CYP2A7	19	41381344	41388657
DZANK1	20	18364011	18447925
SH2D3C	9	130500596	130541020
EPOP	17	36827956	36831674
SLC39A5	12	56623833	56631630
GMCL1	2	70056774	70108528
CLNS1A	11	77225981	77348850
DUOXA1	15	45409565	45422136
SDR42E2	16	22176904	22203075
FAAH	1	46859937	46879520
LILRB4	19	55155340	55181810
DNAH14	1	225083964	225586994
TMBIM4	12	66529626	66563852
EXOC3L4	14	103566481	103576896
RFX8	2	102013823	102091165
TMEM184A	7	1581871	1600457
CROT	7	86974997	87029111
HSPA12A	10	118430703	118609252
GJA5	1	147228332	147245466
DUSP16	12	12627144	12715317
ASB13	10	5680830	5708558
KRT86	12	52643084	52702947
SPOCK2	10	73818793	73848790
LONP1	19	5691845	5720583
KIAA1211	4	56915239	57194791
SLC25A38	3	39424839	39438842
LPCAT3	12	7085348	7125814
NCOA6	20	33276901	33413452
BIK	22	43506754	43525718
TSC2	16	2097466	2138721
BACE2	21	42539728	42654445
SLC25A11	17	4840425	4843546
RAD51AP1	12	4647964	4669214
CYP4A22	1	47603107	47615413
WNK4	17	40932696	40948954
PGAM5	12	133287405	133299320
TMEM120A	7	75616155	75623977
DAB2	5	39371777	39462402
LMO7	13	76194570	76434006
PTGFR	1	78769568	79005434
C11orf1	11	111749659	111756699
TMEM126A	11	85359011	85367591
KRTAP5-10	11	71276609	71277784
ADH5	4	99992129	100009952
DAO	12	109252708	109294819
GRM8	7	126078652	126893348
DARS2	1	173793641	173827684
RNF25	2	219528587	219537134
TACO1	17	61678231	61685725
SSC5D	19	55999771	56030465
RP11-986E7.7	14	95058395	95090983
PLEK	2	68592305	68624585
UGT3A1	5	35951112	36001130
DOPEY1	6	83777385	83881069
C12orf40	12	40019969	40302102
FZD7	2	202899310	202903168
TOX4	14	21944756	21967319
WDR75	2	190306159	190340291
CXCL17	19	42932440	42947200
CTD-2132N18.3	17	40271692	40306934
TNFRSF12A	16	3068446	3072384
AC015989.1	18	60491423	60492724
FAS	10	90750339	90775542
ARHGAP30	1	161016736	161039760
BPIFB1	20	31861286	31897684
GFRA3	5	137588068	137610360
TSPAN2	1	115590632	115632121
IL4I1	19	50392911	50432796
GJA4	1	35258599	35261348
SV2C	5	75378997	75649764
ANKRD26	10	27280843	27389427
CEP126	11	101785746	101871789
SULT4A1	22	44220389	44258383
TMEM176B	7	150488373	150498448
AZIN2	1	33546705	33586131
ACRBP	12	6747241	6756626
CCR3	3	46205096	46308197
TRIM64C	11	49075266	49080664
ZFAND6	15	80351910	80430735
SMIM6	17	73642323	73644057
WSB2	12	118470499	118500235
ZNF335	20	44577292	44600811
PRH2	12	11081835	11084940
MT1A	16	56672578	56673999
SPSB1	1	9352939	9429591
H2BFS	21	44985070	44985529
TMEM110	3	52870235	52931612
PPM1G	2	27604061	27632554
HRH2	5	175085033	175137759
LDHB	12	21788276	21910791
CAGE1	6	7326889	7389976
PMPCA	9	139305022	139318213
CDYL	6	4706393	4955785
TSSK6	19	19623227	19626494
PCIF1	20	44563267	44576662
MBOAT4	8	29989340	30002202
PRKCD	3	53190025	53226733
POMGNT2	3	43120724	43147568
PRRC2C	1	171454690	171562650
MRPL16	11	59573608	59578345
PI15	8	75736772	75767264
MYO1B	2	192109911	192290115
SLC35B4	7	133974084	134001803
PPP6R1	19	55741148	55770363
BECN1	17	40962152	40985367
UBE2T	1	202300785	202311108
AP000275.65	21	33951132	33984591
C1orf115	1	220863187	220872499
NRARP	9	140194934	140196703
CCT5	5	10250033	10266524
PTPDC1	9	96793076	96872138
SRCAP	16	30709530	30752730
KLHL6	3	183205319	183273477
RGCC	13	42031695	42045018
FKBP11	12	49315301	49320257
SLC16A14	2	230899690	230933715
TSKU	11	76493295	76509198
AC012414.1	15	21004687	21005367
COLQ	3	15491640	15563258
NCF4	22	37257030	37274057
SLC30A3	2	27476552	27498685
SDHB	1	17345217	17380665
TRAK1	3	42055294	42267381
TMEM2	9	74298282	74431606
GJB5	1	35220648	35224113
MYL9	20	35169887	35179850
RASSF7	11	560404	564021
AC005477.1	14	72456191	72458326
GTF3C3	2	197627756	197664449
RP11-350E12.6	9	90571129	90571798
